gender,age in years,where the respondent lives,binge drinking,has a drinking problem
female,21,Lives Other,none,13
female,18,Lives Other,,
male,21,Lives Other,,
female,22,Lives Other,twice,16
female,19,Lives Other,none,
female,22,Lives Other,none,16
female,21,Lives in Fraternity or Sorority,none,13
female,26,Lives Other,none,12
female,22,Lives Other,none,13
female,20,Lives Other,none,
male,19,Lives Other,none,
female,19,Lives Other,twice,13
male,20,Lives Other,once,23
female,20,Lives Other,none,12
male,21,Lives Other,once,14
female,26,Lives Other,none,
female,18,Lives Other,once,29
female,20,Lives Other,none,
male,19,Lives Other,once,14
female,20,Lives Other,once,18
female,20,Lives Other,none,15
female,21,Lives Other,6-9 times,18
female,22,Lives Other,none,
female,20,Lives Other,none,4
female,24,Lives Other,none,12
female,18,Lives Other,twice,16
male,22,Lives Other,once,13
female,26,Lives Other,none,
female,20,Lives in Fraternity or Sorority,once,14
female,20,Lives Other,none,13
female,20,Lives Other,once,12
male,26,Lives Other,none,14
female,20,Lives Other,none,13
female,20,Lives Other,once,12
female,22,Lives Other,none,12
female,20,Lives Other,none,12
female,23,Lives Other,none,12
female,23,Lives Other,twice,14
female,24,Lives Other,none,21
female,26,Lives Other,none,12
female,21,Lives Other,once,15
male,20,Lives in Fraternity or Sorority,twice,15
female,18,Lives Other,3-5 times,20
male,20,Lives Other,none,13
male,19,Lives Other,none,12
male,18,Lives Other,none,12
female,20,Lives Other,none,15
female,21,Lives in Fraternity or Sorority,once,13
male,22,Lives Other,none,
female,19,Lives Other,twice,15
male,23,Lives Other,twice,14
female,19,Lives Other,twice,16
female,19,Lives Other,none,
female,19,Lives Other,none,14
female,18,Lives Other,none,
male,21,Lives Other,none,15
female,21,Lives Other,none,19
female,20,Lives Other,none,14
male,25,Lives Other,twice,22
female,26,Lives Other,none,
male,24,Lives Other,none,
female,21,Lives Other,none,
male,21,Lives Other,3-5 times,28
male,18,Lives Other,3-5 times,16
female,26,Lives Other,none,12
male,19,Lives Other,once,22
female,26,Lives Other,none,12
female,22,Lives Other,none,12
male,19,Lives Other,none,12
male,20,Lives Other,6-9 times,27
male,26,Lives Other,none,
female,24,Lives Other,none,
female,21,Lives Other,none,12
female,19,Lives Other,none,12
female,20,Lives Other,3-5 times,21
male,18,Lives Other,twice,13
female,21,Lives Other,none,14
male,26,Lives Other,none,
male,20,Lives Other,6-9 times,16
male,19,Lives Other,6-9 times,21
female,23,Lives Other,none,12
male,18,Lives Other,3-5 times,19
female,21,Lives Other,none,12
male,21,Lives Other,none,13
female,23,Lives Other,none,13
male,19,Lives Other,none,12
male,19,Lives Other,none,15
male,19,Lives Other,none,
female,22,Lives Other,none,13
female,22,Lives Other,none,19
female,23,Lives Other,none,12
female,20,Lives Other,twice,15
female,23,Lives Other,none,12
male,26,Lives Other,none,
female,19,Lives Other,6-9 times,25
female,23,Lives Other,none,
female,20,Lives Other,none,12
male,23,Lives Other,3-5 times,24
female,18,Lives Other,none,
male,23,Lives Other,6-9 times,25
female,22,Lives Other,none,12
male,18,Lives Other,none,14
female,18,Lives Other,none,
female,21,Lives Other,none,
female,22,Lives Other,none,12
female,19,Lives Other,3-5 times,18
female,19,Lives Other,twice,18
female,21,Lives Other,,23
male,26,Lives Other,once,12
female,19,Lives in Fraternity or Sorority,none,14
female,23,Lives Other,none,
male,21,Lives in Fraternity or Sorority,none,13
female,18,Lives Other,none,
female,20,Lives Other,none,
female,21,Lives Other,none,12
male,23,Lives Other,3-5 times,17
female,21,Lives Other,none,12
male,20,Lives Other,once,17
female,26,Lives Other,none,
female,20,Lives Other,none,12
female,21,Lives Other,6-9 times,20
male,23,Lives Other,twice,15
male,22,Lives Other,none,12
male,24,Lives Other,10 or more x,33
female,21,Lives Other,none,12
male,22,Lives Other,none,
female,21,Lives Other,none,12
male,21,Lives Other,none,17
female,22,Lives Other,3-5 times,20
male,19,Lives Other,none,
male,26,Lives Other,none,12
female,19,Lives Other,none,12
male,19,Lives Other,once,14
female,21,Lives Other,none,
male,26,Lives Other,none,14
male,19,Lives Other,none,12
male,21,Lives Other,once,12
female,18,Lives Other,none,
female,20,Lives Other,none,14
female,21,Lives Other,none,12
male,21,Lives Other,none,12
male,22,Lives Other,none,15
female,22,Lives Other,none,13
female,19,Lives Other,none,14
female,23,Lives Other,none,12
male,23,Lives Other,none,12
female,26,Lives Other,none,14
male,21,Lives Other,3-5 times,27
female,18,Lives Other,none,
female,26,Lives Other,none,12
male,21,Lives Other,twice,13
female,21,Lives Other,6-9 times,32
male,21,Lives Other,once,12
female,18,Lives Other,none,
male,21,Lives Other,none,12
female,24,Lives Other,twice,13
female,23,Lives Other,once,14
female,19,Lives Other,none,16
male,19,Lives Other,twice,24
female,20,Lives Other,none,14
female,21,Lives Other,none,13
male,19,Lives Other,twice,12
female,22,Lives Other,none,15
female,20,Lives Other,once,21
female,20,Lives Other,3-5 times,18
male,21,Lives Other,none,
female,23,Lives Other,once,17
female,26,Lives Other,none,
female,20,Lives Other,3-5 times,14
female,21,Lives Other,none,15
female,21,Lives Other,none,16
female,18,Lives Other,none,12
female,26,Lives Other,none,11
female,26,Lives Other,none,11
female,20,Lives Other,none,12
male,21,Lives Other,3-5 times,20
female,26,Lives Other,none,12
female,20,Lives in Fraternity or Sorority,twice,15
female,20,Lives Other,none,14
male,26,Lives Other,none,12
female,21,Lives Other,none,12
female,26,Lives Other,none,12
male,23,Lives Other,3-5 times,22
female,19,Lives Other,none,12
female,26,Lives Other,none,
female,26,Lives Other,once,
female,25,Lives Other,none,
female,20,Lives Other,twice,16
female,25,Lives Other,once,13
female,20,Lives Other,none,13
female,19,Lives Other,none,14
female,21,Lives Other,none,12
male,22,Lives Other,3-5 times,17
male,21,Lives Other,3-5 times,19
male,24,Lives Other,none,12
male,21,Lives Other,none,15
female,18,Lives Other,twice,16
male,26,Lives Other,none,12
female,19,Lives Other,none,15
female,22,Lives Other,none,
male,18,Lives Other,3-5 times,21
male,23,Lives Other,10 or more x,19
male,19,Lives Other,once,12
male,22,Lives Other,none,19
female,21,Lives Other,none,13
male,26,Lives Other,none,12
female,20,Lives Other,none,12
female,20,Lives Other,3-5 times,19
male,20,Lives Other,none,13
male,22,Lives in Fraternity or Sorority,twice,15
female,22,Lives Other,none,
female,20,Lives Other,none,14
female,22,Lives Other,3-5 times,19
female,19,Lives Other,none,17
female,19,Lives Other,none,12
female,21,Lives Other,once,14
female,20,Lives Other,none,12
female,18,Lives Other,once,14
female,20,Lives in Fraternity or Sorority,none,
female,22,Lives Other,none,
male,22,Lives Other,none,13
male,21,Lives Other,none,12
female,19,Lives Other,once,13
female,19,Lives Other,none,12
female,19,Lives Other,none,12
female,19,Lives Other,3-5 times,23
female,18,Lives Other,3-5 times,15
female,21,Lives Other,none,12
male,24,Lives Other,none,12
female,19,Lives Other,once,15
male,21,Lives Other,6-9 times,16
female,20,Lives in Fraternity or Sorority,once,16
male,20,Lives Other,3-5 times,15
male,20,Lives Other,10 or more x,15
female,20,Lives in Fraternity or Sorority,twice,18
female,17,Lives Other,3-5 times,16
female,23,Lives Other,none,13
female,21,Lives Other,none,12
female,26,Lives Other,none,
female,24,Lives Other,twice,19
male,21,Lives Other,twice,18
male,21,Lives Other,none,12
male,20,Lives Other,10 or more x,20
male,22,Lives Other,none,12
male,22,Lives Other,twice,18
male,21,Lives in Fraternity or Sorority,twice,12
female,20,Lives Other,twice,21
female,18,Lives Other,none,
male,20,Lives Other,none,
female,21,Lives Other,none,12
female,21,Lives Other,none,12
male,18,Lives Other,twice,15
female,18,Lives Other,none,12
male,22,Lives Other,twice,15
male,22,Lives Other,none,12
female,20,Lives Other,none,
male,20,Lives in Fraternity or Sorority,none,21
male,19,Lives Other,none,13
female,23,Lives Other,none,13
female,20,Lives Other,none,
female,19,Lives Other,none,
female,22,Lives in Fraternity or Sorority,twice,15
female,20,Lives Other,none,12
female,20,Lives Other,none,
female,22,Lives Other,none,
male,22,Lives Other,none,12
female,21,Lives Other,none,12
female,22,Lives Other,none,15
female,26,Lives Other,3-5 times,22
female,18,Lives Other,none,
female,21,Lives Other,none,12
male,24,Lives Other,none,
male,19,Lives Other,none,
male,26,Lives Other,once,14
female,18,Lives Other,none,
female,22,Lives Other,none,27
male,21,Lives Other,none,12
male,22,Lives Other,3-5 times,12
male,19,Lives Other,none,12
female,20,Lives Other,none,12
male,18,Lives Other,twice,15
male,25,Lives Other,none,12
female,23,Lives Other,none,12
female,18,Lives Other,once,14
male,18,Lives Other,none,12
male,18,Lives Other,none,15
female,21,Lives Other,none,
female,18,Lives Other,none,
female,20,Lives Other,none,
female,20,Lives Other,none,14
female,22,Lives Other,twice,22
male,20,Lives Other,once,13
male,18,Lives Other,twice,24
female,22,Lives Other,none,13
male,26,Lives Other,none,
female,18,Lives Other,twice,15
female,19,Lives Other,none,18
female,26,Lives Other,none,
male,22,Lives Other,none,12
female,21,Lives Other,none,
female,22,Lives Other,none,
male,22,Lives Other,3-5 times,17
female,21,Lives Other,3-5 times,19
female,20,Lives Other,none,12
male,18,Lives Other,none,
female,19,Lives Other,none,19
female,21,Lives Other,none,13
male,19,Lives Other,none,12
female,18,Lives Other,none,12
female,21,Lives Other,once,13
female,21,Lives in Fraternity or Sorority,once,22
female,25,Lives Other,twice,13
female,18,Lives Other,3-5 times,20
male,18,Lives Other,10 or more x,26
male,22,Lives Other,6-9 times,15
female,18,Lives Other,once,12
female,20,Lives Other,none,13
female,20,Lives Other,none,12
male,26,Lives Other,none,
male,21,Lives Other,none,15
male,23,Lives Other,twice,18
female,18,Lives Other,none,
male,22,Lives Other,3-5 times,19
male,18,Lives Other,none,
female,20,Lives Other,3-5 times,
male,20,Lives Other,3-5 times,16
female,18,Lives Other,none,
female,21,Lives Other,once,15
female,20,Lives Other,none,12
female,18,Lives Other,none,13
female,19,Lives Other,none,12
male,26,Lives Other,none,
female,19,Lives Other,none,
male,24,Lives Other,none,12
male,19,Lives in Fraternity or Sorority,3-5 times,20
female,22,Lives Other,once,18
female,21,Lives Other,none,12
male,21,Lives Other,none,12
female,21,Lives Other,none,12
female,21,Lives Other,none,12
female,26,Lives Other,none,12
female,19,Lives Other,,17
female,22,Lives Other,6-9 times,27
female,22,Lives Other,none,14
female,26,Lives Other,none,
male,21,Lives Other,once,15
male,23,Lives Other,none,12
male,20,Lives Other,twice,13
female,21,Lives Other,none,36
female,18,Lives Other,3-5 times,17
female,18,Lives Other,3-5 times,14
male,20,Lives Other,none,
male,26,Lives Other,twice,16
female,19,Lives Other,none,
female,19,Lives Other,none,16
male,20,Lives Other,none,
female,20,Lives Other,6-9 times,25
male,18,Lives Other,6-9 times,21
male,19,Lives Other,3-5 times,17
male,19,Lives Other,none,12
female,19,Lives Other,none,
female,18,Lives Other,once,14
male,18,Lives Other,none,
male,20,Lives Other,none,
female,21,Lives Other,none,
male,18,Lives Other,none,12
male,20,Lives Other,once,20
male,23,Lives Other,10 or more x,14
female,23,Lives Other,none,13
female,21,Lives Other,none,14
male,19,Lives Other,none,
male,21,Lives Other,none,
male,23,Lives Other,none,16
female,19,Lives Other,none,
female,22,Lives Other,3-5 times,18
female,19,Lives Other,twice,20
male,19,Lives Other,once,16
female,26,Lives Other,none,
male,19,Lives Other,none,12
male,21,Lives Other,none,
female,21,Lives Other,none,12
female,19,Lives Other,none,14
male,22,Lives Other,once,16
female,18,Lives Other,twice,14
male,22,Lives Other,none,
female,18,Lives Other,none,
male,22,Lives Other,3-5 times,15
male,22,Lives Other,twice,12
male,21,Lives Other,once,19
female,20,Lives Other,none,12
female,23,Lives Other,none,
female,19,Lives Other,none,18
male,23,Lives Other,none,18
female,19,Lives Other,none,12
male,22,Lives Other,none,
female,18,Lives Other,none,16
male,19,Lives Other,none,12
female,19,Lives Other,none,12
female,18,Lives Other,none,12
female,26,Lives Other,none,12
male,25,Lives Other,none,14
female,21,Lives Other,none,12
female,18,Lives Other,none,17
female,22,Lives Other,none,12
female,21,Lives Other,none,13
male,23,Lives Other,none,12
female,18,Lives Other,,
female,26,Lives Other,none,12
female,21,Lives Other,twice,19
female,24,Lives Other,once,18
male,20,Lives Other,none,18
male,22,Lives Other,6-9 times,27
female,22,Lives Other,none,13
female,20,Lives Other,none,12
female,21,Lives Other,once,15
female,22,Lives Other,once,13
male,26,Lives Other,none,14
male,23,Lives Other,6-9 times,21
male,22,Lives Other,none,12
female,23,Lives Other,none,12
male,26,Lives Other,3-5 times,22
female,21,Lives Other,none,12
female,18,Lives Other,none,13
female,19,Lives Other,3-5 times,25
female,18,Lives Other,6-9 times,27
male,22,Lives Other,none,13
male,26,Lives Other,none,12
female,26,Lives Other,none,12
female,20,Lives Other,none,21
female,26,Lives Other,none,12
female,21,Lives Other,3-5 times,22
male,24,Lives Other,none,
female,23,Lives Other,twice,19
male,26,Lives Other,none,
male,24,Lives Other,none,13
female,21,Lives Other,none,14
female,21,Lives Other,none,14
male,21,Lives Other,twice,18
female,19,Lives Other,none,
male,26,Lives Other,none,
female,20,Lives Other,none,12
female,22,Lives Other,none,13
female,22,Lives Other,once,16
male,21,Lives Other,3-5 times,25
female,20,Lives Other,once,12
female,21,Lives Other,once,18
female,21,Lives Other,none,21
female,22,Lives Other,once,23
male,18,Lives Other,twice,20
female,18,Lives Other,none,12
male,26,Lives Other,none,
female,26,Lives Other,none,12
female,18,Lives Other,none,13
female,19,Lives Other,none,12
female,18,Lives Other,,
female,19,Lives Other,none,15
female,20,Lives Other,none,
female,20,Lives Other,once,25
female,26,Lives Other,none,12
male,19,Lives Other,none,13
male,26,Lives Other,none,
female,18,Lives Other,10 or more x,36
male,20,Lives Other,none,
female,21,Lives Other,none,12
female,24,Lives Other,none,17
male,20,Lives Other,once,15
male,23,Lives Other,none,13
male,18,Lives Other,,12
female,26,Lives Other,none,
male,22,Lives Other,once,14
female,21,Lives Other,none,12
male,22,Lives Other,once,13
male,21,Lives Other,none,
male,20,Lives Other,twice,13
male,26,Lives Other,none,12
male,24,Lives Other,once,21
female,19,Lives Other,once,12
male,21,Lives Other,twice,15
female,18,Lives Other,none,12
female,21,Lives Other,3-5 times,16
female,26,Lives Other,none,12
female,21,Lives Other,none,
male,26,Lives Other,3-5 times,17
female,20,Lives Other,none,13
male,21,Lives Other,once,15
male,19,Lives Other,6-9 times,25
female,22,Lives Other,none,12
female,21,Lives Other,none,
female,21,Lives Other,none,12
female,18,Lives Other,none,24
female,21,Lives Other,once,13
female,18,Lives Other,3-5 times,26
male,23,Lives Other,once,12
female,20,Lives Other,none,14
female,21,Lives Other,once,12
female,26,Lives Other,none,13
male,19,Lives Other,none,12
female,21,Lives Other,once,14
female,23,Lives Other,once,18
male,19,Lives Other,twice,14
male,23,Lives Other,none,
female,19,Lives Other,3-5 times,19
male,26,Lives Other,,
female,26,Lives Other,none,
male,26,Lives Other,3-5 times,12
female,25,Lives Other,none,12
male,20,Lives Other,none,
female,21,Lives Other,none,12
female,19,Lives Other,once,15
male,19,Lives Other,3-5 times,18
female,22,Lives Other,once,17
male,21,Lives Other,none,12
female,22,Lives Other,3-5 times,17
male,20,Lives in Fraternity or Sorority,3-5 times,21
female,18,Lives Other,once,21
female,19,Lives Other,once,12
female,19,Lives Other,3-5 times,21
male,18,Lives Other,none,13
male,20,Lives Other,6-9 times,27
male,22,Lives Other,none,
male,20,Lives in Fraternity or Sorority,3-5 times,21
female,18,Lives Other,none,14
female,21,Lives Other,none,12
female,26,Lives Other,none,12
female,19,Lives Other,none,12
male,23,Lives Other,,
male,26,Lives Other,none,12
male,21,Lives Other,twice,18
male,22,Lives Other,none,
female,20,Lives Other,none,12
female,26,Lives Other,none,12
female,26,Lives Other,none,13
female,20,Lives Other,none,15
female,25,Lives Other,none,12
female,19,Lives Other,none,12
male,22,Lives Other,none,
female,22,Lives Other,none,15
female,26,Lives Other,none,13
female,20,Lives Other,3-5 times,20
female,20,Lives Other,none,
female,20,Lives Other,once,12
,,,3-5 times,24
female,26,Lives Other,none,12
female,23,Lives Other,3-5 times,18
female,26,Lives Other,none,12
female,19,Lives Other,none,
male,19,Lives Other,10 or more x,24
male,20,Lives Other,none,17
male,26,Lives Other,none,13
male,19,Lives Other,none,
male,26,Lives Other,none,18
male,26,Lives Other,none,
male,18,Lives Other,none,
female,18,Lives Other,twice,25
female,23,Lives Other,none,
male,21,Lives in Fraternity or Sorority,3-5 times,
male,21,Lives Other,twice,16
female,18,Lives Other,twice,17
female,19,Lives Other,3-5 times,17
female,23,Lives Other,none,
male,20,Lives Other,none,
female,22,Lives Other,none,
female,21,Lives Other,none,13
female,26,Lives Other,none,17
female,18,Lives Other,none,
female,21,Lives Other,twice,21
female,26,Lives Other,none,13
female,21,Lives Other,twice,21
male,19,Lives Other,none,12
male,22,Lives Other,3-5 times,22
male,21,Lives Other,none,12
male,24,Lives Other,none,
female,20,Lives Other,3-5 times,18
male,21,Lives Other,3-5 times,17
male,19,Lives Other,once,21
female,21,Lives Other,none,
male,23,Lives Other,none,12
female,20,Lives Other,none,
male,24,Lives Other,once,12
female,18,Lives Other,none,12
male,19,Lives Other,none,13
female,25,Lives Other,none,13
female,20,Lives Other,none,
female,22,Lives Other,none,12
female,21,Lives Other,none,16
male,20,Lives Other,3-5 times,18
male,19,Lives Other,none,12
female,26,Lives Other,none,12
male,21,Lives Other,none,
female,26,Lives Other,none,
male,19,Lives Other,none,16
female,21,Lives Other,3-5 times,24
female,19,Lives Other,once,18
male,18,Lives Other,none,
female,21,Lives Other,none,12
female,19,Lives Other,,18
female,21,Lives Other,none,17
male,20,Lives Other,none,23
male,20,Lives Other,none,12
male,21,Lives Other,none,12
male,26,Lives Other,none,12
female,23,Lives Other,none,
male,21,Lives Other,none,13
female,20,Lives Other,none,10
male,21,Lives Other,3-5 times,23
male,19,Lives in Fraternity or Sorority,twice,16
female,21,Lives Other,twice,15
female,21,Lives Other,twice,15
female,23,Lives Other,none,14
male,23,Lives Other,once,15
female,21,Lives Other,none,14
male,19,Lives Other,3-5 times,17
female,21,Lives Other,none,
female,21,Lives Other,once,16
female,20,Lives Other,none,12
male,22,Lives Other,3-5 times,15
female,20,Lives Other,none,23
male,23,Lives Other,twice,13
female,26,Lives Other,none,12
female,19,Lives Other,once,12
male,19,Lives Other,none,16
female,21,Lives Other,none,14
female,26,Lives Other,once,14
male,20,Lives Other,twice,16
male,26,Lives Other,none,
female,20,Lives Other,none,
female,21,Lives Other,none,13
female,22,Lives Other,none,21
male,20,Lives Other,once,27
male,18,Lives Other,none,28
female,19,Lives Other,none,13
female,22,Lives Other,once,18
male,19,Lives Other,3-5 times,13
male,22,Lives Other,3-5 times,21
female,23,Lives Other,none,14
male,19,Lives Other,none,14
male,21,Lives Other,once,13
female,19,Lives Other,none,13
male,22,Lives Other,once,15
female,21,Lives Other,none,12
female,19,Lives Other,none,13
female,20,Lives Other,none,
female,21,Lives Other,none,12
male,26,Lives Other,none,14
male,21,Lives Other,none,14
male,23,Lives Other,none,13
female,26,Lives Other,once,14
female,21,Lives Other,none,
male,19,Lives Other,3-5 times,21
female,20,Lives Other,none,12
male,24,Lives Other,none,12
female,20,Lives Other,none,15
male,19,Lives Other,none,18
female,20,Lives Other,none,12
male,26,Lives Other,none,12
female,18,Lives Other,once,16
female,18,Lives Other,3-5 times,22
male,21,Lives Other,3-5 times,19
male,20,Lives Other,none,12
male,21,Lives Other,once,14
male,19,Lives Other,none,16
male,18,Lives Other,none,
female,26,Lives Other,none,
female,20,Lives Other,once,19
female,20,Lives Other,none,16
male,26,Lives Other,none,14
female,21,Lives Other,none,12
female,20,Lives Other,none,
female,20,Lives Other,none,
female,24,Lives in Fraternity or Sorority,10 or more x,
male,20,Lives Other,once,15
male,21,Lives Other,3-5 times,13
male,22,Lives Other,none,12
female,19,Lives Other,none,17
female,21,Lives Other,none,16
female,20,Lives Other,3-5 times,17
male,26,,none,12
female,24,Lives Other,3-5 times,14
male,22,Lives Other,none,
,,,none,12
female,21,Lives Other,twice,20
female,21,Lives Other,none,
male,25,Lives Other,once,13
,,,once,15
female,20,Lives Other,none,
male,21,Lives Other,none,
male,18,Lives Other,3-5 times,19
female,20,Lives Other,none,12
female,19,Lives Other,twice,14
female,22,Lives Other,none,13
male,22,Lives Other,none,13
female,22,Lives Other,none,12
female,26,Lives Other,none,12
female,19,Lives Other,none,
male,23,,10 or more x,14
female,23,Lives Other,none,12
female,18,Lives Other,none,15
male,20,Lives Other,once,13
female,19,Lives Other,3-5 times,17
female,19,Lives Other,none,13
